Date;Side;Win/Lose;Player;Lane;Hero;Ban Hero;Spell;Team;Opponent;Game 1 - 3;Kill;Death;Assist;Duration;Map;Bracket
15/07/2026;Blue;Lose;Meylane;Jungler;Hirara;Atlas;Retribution;Twisted Minds VN;Geltek Cyber Team;0 - 2;3;2;2;15:43;Flying Clouds;UB Semifinals
15/07/2026;Blue;Lose;Saa;Midlane;Valentina;Claude;Flicker;Twisted Minds VN;Geltek Cyber Team;0 - 2;1;4;5;15:43;Flying Clouds;UB Semifinals
15/07/2026;Blue;Lose;Chincaaw;Goldlane;Bruno;Gord;Flicker;Twisted Minds VN;Geltek Cyber Team;0 - 2;4;1;2;15:43;Flying Clouds;UB Semifinals
15/07/2026;Blue;Lose;Kao;Roam;Hylos;Baxia;Revitalize;Twisted Minds VN;Geltek Cyber Team;0 - 2;0;6;5;15:43;Flying Clouds;UB Semifinals
15/07/2026;Red;Lose;Alyssa;Explane;Benedetta;Atlas;Petrify;Geekay Esports FE;Virtus.pro MENA;0 - 1;4;3;4;15:56;Expanding Rivers;LB Quarterfinals
15/07/2026;Red;Lose;Alecta;Jungler;Alice;Mathilda;Retribution;Geekay Esports FE;Virtus.pro MENA;0 - 1;0;7;7;15:56;Expanding Rivers;LB Quarterfinals
15/07/2026;Red;Lose;Yui;Midlane;Valir;Moskov;Flicker;Geekay Esports FE;Virtus.pro MENA;0 - 1;2;2;7;15:56;Expanding Rivers;LB Quarterfinals
15/07/2026;Red;Lose;Nephyria;Goldlane;Irithel;Sora;Sprint;Geekay Esports FE;Virtus.pro MENA;0 - 1;5;3;3;15:56;Expanding Rivers;LB Quarterfinals
15/07/2026;Red;Lose;Assu;Roam;Hylos;Arlott;Revitalize;Geekay Esports FE;Virtus.pro MENA;0 - 1;1;6;7;15:56;Expanding Rivers;LB Quarterfinals
15/07/2026;Blue;Win;Rafa;Explane;Esmeralda;Gord;Flicker;Virtus.pro MENA;Geekay Esports FE;1 - 0;3;2;13;15:56;Expanding Rivers;LB Quarterfinals
15/07/2026;Blue;Win;Miss Meow;Jungler;Lancelot;Baxia;Retribution;Virtus.pro MENA;Geekay Esports FE;1 - 0;5;2;6;15:56;Expanding Rivers;LB Quarterfinals
15/07/2026;Blue;Win;Livin;Midlane;Yve;Hirara;Flicker;Virtus.pro MENA;Geekay Esports FE;1 - 0;3;2;13;15:56;Expanding Rivers;LB Quarterfinals
15/07/2026;Blue;Win;Lunar;Goldlane;Karrie;Harley;Flicker;Virtus.pro MENA;Geekay Esports FE;1 - 0;10;0;7;15:56;Expanding Rivers;LB Quarterfinals
15/07/2026;Blue;Win;Minun;Roam;Marcel;Nolan;Revitalize;Virtus.pro MENA;Geekay Esports FE;1 - 0;0;6;17;15:56;Expanding Rivers;LB Quarterfinals
15/07/2026;Blue;Lose;Alyssa;Explane;Arlott;Marcel;Flicker;Geekay Esports FE;Virtus.pro MENA;0 - 2;1;3;13;23:05;Dangerous Grass;LB Quarterfinals
15/07/2026;Blue;Lose;Alecta;Jungler;Joy;Moskov;Retribution;Geekay Esports FE;Virtus.pro MENA;0 - 2;12;4;10;23:05;Dangerous Grass;LB Quarterfinals
15/07/2026;Blue;Lose;Yui;Midlane;Yve;Phoveus;Flicker;Geekay Esports FE;Virtus.pro MENA;0 - 2;4;3;13;23:05;Dangerous Grass;LB Quarterfinals
15/07/2026;Blue;Lose;Nephyria;Goldlane;Freya;Alice;Vengeance;Geekay Esports FE;Virtus.pro MENA;0 - 2;6;5;7;23:05;Dangerous Grass;LB Quarterfinals
15/07/2026;Blue;Lose;Assu;Roam;Atlas;Fredrinn;Flicker;Geekay Esports FE;Virtus.pro MENA;0 - 2;1;6;17;23:05;Dangerous Grass;LB Quarterfinals
15/07/2026;Red;Win;Rafa;Explane;Esmeralda;Mathilda;Flicker;Virtus.pro MENA;Geekay Esports FE;2 - 0;6;4;10;23:05;Dangerous Grass;LB Quarterfinals
15/07/2026;Red;Win;Miss Meow;Jungler;Ling;Hirara;Retribution;Virtus.pro MENA;Geekay Esports FE;2 - 0;7;5;3;23:05;Dangerous Grass;LB Quarterfinals
15/07/2026;Red;Win;Livin;Midlane;Zetian;Baxia;Flicker;Virtus.pro MENA;Geekay Esports FE;2 - 0;5;3;11;23:05;Dangerous Grass;LB Quarterfinals
15/07/2026;Red;Win;Lunar;Goldlane;Karrie;Guinevere;Purify;Virtus.pro MENA;Geekay Esports FE;2 - 0;3;5;10;23:05;Dangerous Grass;LB Quarterfinals
15/07/2026;Red;Win;Minun;Roam;Grock;Harley;Flicker;Virtus.pro MENA;Geekay Esports FE;2 - 0;0;7;13;23:05;Dangerous Grass;LB Quarterfinals
15/07/2026;Blue;Win;Violet;Explane;Sora;Guinevere;Flicker;Falcons Vega;Aurora Storm;1 - 0;1;0;6;11:18;Flying Clouds;LB Quarterfinals
15/07/2026;Blue;Win;Xev;Jungler;Nolan;Phoveus;Retribution;Falcons Vega;Aurora Storm;1 - 0;3;2;5;11:18;Flying Clouds;LB Quarterfinals
15/07/2026;Blue;Win;Livii;Midlane;Yve;Marcel;Flicker;Falcons Vega;Aurora Storm;1 - 0;4;0;6;11:18;Flying Clouds;LB Quarterfinals
15/07/2026;Blue;Win;Liv;Goldlane;Karrie;Gord;Flicker;Falcons Vega;Aurora Storm;1 - 0;4;0;3;11:18;Flying Clouds;LB Quarterfinals
15/07/2026;Blue;Win;Remund;Roam;Hylos;Lylia;Revitalize;Falcons Vega;Aurora Storm;1 - 0;0;0;10;11:18;Flying Clouds;LB Quarterfinals
15/07/2026;Red;Lose;Luette;Explane;Esmeralda;Hirara;Sprint;Aurora Storm;Falcons Vega;0 - 1;1;3;0;11:18;Flying Clouds;LB Quarterfinals
15/07/2026;Red;Lose;Anu;Jungler;Harley;Mathilda;Retribution;Aurora Storm;Falcons Vega;0 - 1;0;2;0;11:18;Flying Clouds;LB Quarterfinals
15/07/2026;Red;Lose;zulaana;Midlane;Valentina;Atlas;Flicker;Aurora Storm;Falcons Vega;0 - 1;0;2;2;11:18;Flying Clouds;LB Quarterfinals
15/07/2026;Red;Lose;Mobsaiko;Goldlane;Claude;Gloo;Flicker;Aurora Storm;Falcons Vega;0 - 1;0;2;1;11:18;Flying Clouds;LB Quarterfinals
